scheme,conditioned_model,comparator_model,mae_difference_estimate,mae_difference_lower,mae_difference_upper,mae_difference_confidence_level,mae_difference_n_holes,coverage_difference,conditioned_interval_coverage,comparator_interval_coverage,paired_rows,paired_holes,joint_success_rate,paired_universe,interval_coverage_role,conditioned_failure_rate,comparator_failure_rate
leave_one_hole_out,partial_pooling,idw,-0.060539603794016406,-0.18992138521649352,0.06659750253218252,0.95,100,0.07876905702992665,0.9517221908526257,0.872953133822699,3542,100,1.0,finite_joint_success_only,uncalibrated_diagnostic,0.0,0.0
northing_block_buffered,partial_pooling,idw,-0.09975569102131182,-0.22856320984447204,0.02149104708236751,0.95,100,0.11857707509881421,0.9424054206662902,0.823828345567476,3542,100,1.0,finite_joint_success_only,uncalibrated_diagnostic,0.0,0.0
