conditioned_model,comparator_model,scheme,estimate,lower,upper,confidence_level,n_holes,bootstrap_replicates,support_rule,paired_rows,paired_holes,joint_success_rate,conditioned_failure_rate,comparator_failure_rate,comparison,analysis_role,polynomial_degree,coordinate_term_count,changes_frozen_covariance_gate
lithology_quadratic_coordinate,quadratic_coordinate_trend,leave_one_hole_out,-0.0738362523548473,-0.1179617292370769,-0.03267862010018978,0.95,100,20000,supported only when the upper 95% CI is below zero in both primary held-out schemes,3542,100,1.0,0.0,0.0,lithology_quadratic_coordinate_minus_quadratic_coordinate,reviewer_motivated_post_analysis_non_decision_sensitivity,2,9,False
lithology_quadratic_coordinate,quadratic_coordinate_trend,northing_block_buffered,-0.12249437011873443,-0.17052706261580453,-0.07817814897741178,0.95,100,20000,supported only when the upper 95% CI is below zero in both primary held-out schemes,3542,100,1.0,0.0,0.0,lithology_quadratic_coordinate_minus_quadratic_coordinate,reviewer_motivated_post_analysis_non_decision_sensitivity,2,9,False
