threshold_set,maximum_criterion_factor,minimum_score_factor,max_range_ratio,max_range_cv,max_nugget_fraction,max_normalized_rmse,observed_short_lag_score,frozen_score_threshold,independent_score_threshold,frozen_score_pass,independent_score_pass,downhole_stability_pass,residual_stability_pass,synthetic_target_pass,complete_covariance_eligibility_pass,interpretation
strict,0.8,1.2,2.4000000000000004,0.4,0.6400000000000001,0.27999999999999997,0.0014319351125384738,0.04337828919602527,0.04714559964,False,False,False,False,False,False,post-analysis robustness sensitivity; thresholds were not optimized and operating targets were held fixed
primary,1.0,1.0,3.0,0.5,0.8,0.35,0.0014319351125384738,0.03614857433002106,0.0392879997,False,False,False,False,False,False,post-analysis robustness sensitivity; thresholds were not optimized and operating targets were held fixed
relaxed,1.2,0.8,3.5999999999999996,0.6,0.96,0.42,0.0014319351125384738,0.02891885946401685,0.03143039976,False,False,False,False,False,False,post-analysis robustness sensitivity; thresholds were not optimized and operating targets were held fixed
