model,scheme,status,hole_balanced_mae,hole_balanced_rmse,hole_balanced_bias,length_weighted_mae,length_weighted_rmse,length_weighted_bias,interval_coverage,failure_rate,n_rows,n_holes,acceptance_role,interval_coverage_role
diagnostic_geology_blind_ok,leave_one_hole_out,complete,1.8647488785468882,2.246143983656979,0.2921472786280667,1.8757347651168663,2.348493367080113,0.33968700748624964,0.9456140350877194,0.03444381705251276,3542,96,post_gate_non_decision_sensitivity,uncalibrated_diagnostic
diagnostic_geology_blind_ok,northing_block_buffered,complete,1.8218060029125325,2.2721708466792907,-0.3230319505753911,1.8972346366035073,2.501546542560314,-0.3470310286222211,0.9664879356568364,0.5787690570299266,3542,42,post_gate_non_decision_sensitivity,uncalibrated_diagnostic
diagnostic_hard_domain_ok,leave_one_hole_out,complete,1.7692213542806958,2.1403850756390224,0.25818303740418347,1.8094692074225447,2.2794112217751423,0.35456690223073883,0.9565868263473054,0.05702992659514394,3542,95,post_gate_non_decision_sensitivity,uncalibrated_diagnostic
diagnostic_hard_domain_ok,northing_block_buffered,complete,1.8284009693130858,2.2731235805997327,-0.45495592234592513,1.9124918360179495,2.5283758724478598,-0.5012197142493594,0.9456806282722513,0.5686053077357425,3542,43,post_gate_non_decision_sensitivity,uncalibrated_diagnostic
diagnostic_regression_kriging,leave_one_hole_out,complete,1.762459802103931,2.156738720981,0.30479529913181885,1.8208929119230952,2.303433374016313,0.2993826143308918,0.9370741482965932,0.29559570863918694,3542,76,post_gate_non_decision_sensitivity,uncalibrated_diagnostic
diagnostic_regression_kriging,northing_block_buffered,complete,1.9809602096255714,2.416635160569015,-0.5288355182956753,2.1104821068023476,2.773630405201811,-0.7159681816110381,0.8932275777913362,0.5372670807453417,3542,46,post_gate_non_decision_sensitivity,uncalibrated_diagnostic
