perturbation_rate,scheme,repeats,median_delta,minimum_delta,maximum_delta,fraction_favouring_geology
0.05,leave_one_hole_out,10,-0.07256541363947416,-0.07903060910631718,-0.06664502194313504,1.0
0.05,northing_block_buffered,10,-0.07675957726769098,-0.0825296852887623,-0.06792599693744093,1.0
0.1,leave_one_hole_out,10,-0.0634364686279,-0.06737569527771649,-0.05464917595687982,1.0
0.1,northing_block_buffered,10,-0.06518559736906532,-0.07099398956273961,-0.05708159018861597,1.0
0.2,leave_one_hole_out,10,-0.053923337559665684,-0.055997324442886784,-0.04704109760921404,1.0
0.2,northing_block_buffered,10,-0.05316858902535315,-0.06205260993794473,-0.04676386815624026,1.0
