cohort,window_m,rows,holes,unique_contacts,contact_side_units,qfr_rows,graphitic_schist_rows,low_penalty_minus_pooled_mae,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,weighting_hierarchy,status,limitation
all_represented_contacts,10.0,565,54,143,172,35,530,-0.3385260423285041,-0.5030707188152792,-0.1847204703680887,20000,support within contact side; equal sides within contact; equal contacts within hole; equal holes,reviewer_requested_post_analysis_sensitivity,sparse logged QFR support; along-hole distance only; does not establish a hard contact or directional continuity
two_sided_contacts_only,10.0,150,17,29,58,34,116,-1.1687868711733493,-1.5076798742289457,-0.7093978578235254,20000,support within contact side; equal sides within contact; equal contacts within hole; equal holes,reviewer_requested_post_analysis_sensitivity,sparse logged QFR support; along-hole distance only; does not establish a hard contact or directional continuity
