conditioned_model,comparator_model,scheme,estimate,lower,upper,confidence_level,n_holes,bootstrap_replicates,support_rule,paired_rows,paired_holes,joint_success_rate,conditioned_failure_rate,comparator_failure_rate,comparison
lithology_only_nested,coordinate_trend,leave_one_hole_out,-0.046689437951440524,-0.10185776269278007,0.007185590028274565,0.95,100,20000,supported only when the upper 95% CI is below zero in both primary held-out schemes,3542,100,1.0,0.0,0.0,lithology_minus_coordinate
lithology_only_nested,coordinate_trend,northing_block_buffered,-0.060166623415171344,-0.12096831268353458,-0.0012139096106974201,0.95,100,20000,supported only when the upper 95% CI is below zero in both primary held-out schemes,3542,100,1.0,0.0,0.0,lithology_minus_coordinate
lithology_spatial,coordinate_trend,leave_one_hole_out,-0.07808046381535663,-0.1219817441946423,-0.03588049269545387,0.95,100,20000,supported only when the upper 95% CI is below zero in both primary held-out schemes,3542,100,1.0,0.0,0.0,lithology_spatial_minus_coordinate
lithology_spatial,coordinate_trend,northing_block_buffered,-0.08167099780564793,-0.12327955258288716,-0.041560538706453515,0.95,100,20000,supported only when the upper 95% CI is below zero in both primary held-out schemes,3542,100,1.0,0.0,0.0,lithology_spatial_minus_coordinate
lithology_spatial,lithology_only_nested,leave_one_hole_out,-0.0313910258639161,-0.06598919025068382,0.0043959510790474235,0.95,100,20000,supported only when the upper 95% CI is below zero in both primary held-out schemes,3542,100,1.0,0.0,0.0,spatial_increment_given_lithology
lithology_spatial,lithology_only_nested,northing_block_buffered,-0.021504374390476592,-0.059128334903321644,0.018562871240721802,0.95,100,20000,supported only when the upper 95% CI is below zero in both primary held-out schemes,3542,100,1.0,0.0,0.0,spatial_increment_given_lithology
