category,metric,value,unit,reporting_status,source,limitation
GGC-13,action_limit_failures,0,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-13,observed_mean,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-13,observed_bias,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-13,warning_count,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-14,certified_grade,9.23,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-14,certified_standard_deviation,0.53,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-14,count,18,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-14,action_limit_failures,0,samples,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-14,observed_mean,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-14,observed_bias,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
GGC-14,warning_count,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
blank,minimum,<0.05,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
blank,maximum,<0.05,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
blank,mean,<0.05,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
blank,median,<0.05,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
coarse_duplicate,reported_precision,12.0,plus_or_minus_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
coarse_duplicate,reported_correlation_lower_bound,0.98,correlation,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
pulp_duplicate,reported_precision,4.6,plus_or_minus_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
pulp_duplicate,reported_correlation_lower_bound,0.995,correlation,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
coarse_duplicate,precision_metric_definition,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
pulp_duplicate,precision_metric_definition,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
preparation,crush_size,2,mm_max,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
preparation,pulverisation_passing,85,pct_passing_75_micrometres,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
analysis,method,infrared combustion / LECO stated elsewhere in report,text,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
analysis,nominal_lower_reporting_limit,0.05,TGC_pct,reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
all_controls,reassay_count,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
all_controls,corrective_action_count,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
all_controls,batch_control_counts,not reported,not reported,not_reported,"restricted professional report, sections 3.3.3 and 3.4.5, Tables 3.2-3.8/Figs 3.22-3.23",aggregate report fact; row-level control data unavailable
