family,hypothesis,scheme,conditioned,comparator,estimate_mae_delta,n_independent_hole_units,unadjusted_one_sided_bootstrap_p,holm_adjusted_p,holm_reject_at_0p05,role,limitation
secondary_model_increments,lithology_increment,leave_one_hole_out,lithology_only,global_mean,-0.09825494794681207,100,4.999750012499375e-05,0.0002999850007499625,True,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
secondary_model_increments,lithology_increment,northing_block_buffered,lithology_only,global_mean,-0.0929130564607451,100,9.99950002499875e-05,0.0004999750012499375,True,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
secondary_model_increments,weathering_increment,leave_one_hole_out,geology_only,lithology_only,-0.046375629335765695,100,0.008499575021248937,0.03399830008499575,True,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
secondary_model_increments,weathering_increment,northing_block_buffered,geology_only,lithology_only,-0.039648484292767336,100,0.026198690065496726,0.07859607019649018,False,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
secondary_model_increments,depth_rl_increment,leave_one_hole_out,partial_pooling,geology_only,-0.0040362857238385496,100,0.33163341832908355,0.6632668366581671,False,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
secondary_model_increments,depth_rl_increment,northing_block_buffered,partial_pooling,geology_only,0.022001618382204338,100,0.9088545572721364,0.9088545572721364,False,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
secondary_contact_policy_family,hard_minus_pooled,leave_one_hole_out,hard,pooled,-0.05222183953299153,55,9.99950002499875e-05,0.000199990000499975,True,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
secondary_contact_policy_family,soft_partial_pool_minus_pooled,leave_one_hole_out,soft_partial_pool,pooled,-0.04997666532412357,55,4.999750012499375e-05,0.00014999250037498125,True,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
secondary_contact_policy_family,transitional_minus_pooled,leave_one_hole_out,transitional,pooled,-0.04011921200944194,55,0.009799510024498775,0.009799510024498775,True,post hoc multiplicity sensitivity; not retroactive preregistration,hole-bootstrap p-values are finite-replicate sensitivities; spatial schemes are not independent
