canonical_lithology,rows,holes,raw_mean,raw_sd,raw_skew,raw_excess_kurtosis,raw_p01,raw_p99,log1p_mean,log1p_sd,log1p_skew,log1p_excess_kurtosis,analysis_role
all,3542,100,-8.906859815852188e-16,2.1916601719950135,0.7282348109059688,0.7612731267025015,-3.8082974927068385,6.018094060853868,8.22480298310675e-17,0.447487792094297,-0.29871114414157673,-0.15812524712243947,reviewer_motivated_post_analysis_distribution_diagnostic
ambiguous,186,32,0.002077547744028771,1.8535854651123604,0.24914002651110062,-0.5095286496355977,-3.3581264526727184,4.363574433757884,0.0008091350254613543,0.47967529554694116,-0.5332630842136883,-0.41173709458350816,reviewer_motivated_post_analysis_distribution_diagnostic
graphitic_schist,3046,98,0.0001148958943834612,2.161110956786944,0.7294974856197325,0.8190772215957818,-3.805105137220214,5.95613647960135,3.568785632640343e-05,0.42500052230950686,-0.2987814490345131,-0.11485553004048876,reviewer_motivated_post_analysis_distribution_diagnostic
other,273,57,0.0012401412744331838,2.7907910128413453,0.7430692815458063,-0.06091726550466703,-3.9282249573256496,7.767980808216666,0.00030663480704410756,0.6378106821067825,-0.24855743008512277,-1.0374966666013121,reviewer_motivated_post_analysis_distribution_diagnostic
qfr,37,17,-0.029052847097425238,0.9610633782407465,2.0019797507460404,6.396786609698214,-1.4839192209021779,3.1977542766662386,-0.00926798993050763,0.4029151899810915,1.4143233547591092,1.8728731525786113,reviewer_motivated_post_analysis_distribution_diagnostic
