window_m,side,rows,holes,support_m,length_weighted_mean_tgc_pct,distance_definition
1.0,graphitic_schist,75,46,150.0,3.880089333333333,signed along-hole distance; not perpendicular distance or true thickness
1.0,qfr,20,13,40.0,0.8096099999999998,signed along-hole distance; not perpendicular distance or true thickness
2.0,graphitic_schist,110,51,220.0,3.9233449999999994,signed along-hole distance; not perpendicular distance or true thickness
2.0,qfr,25,15,50.0,0.760088,signed along-hole distance; not perpendicular distance or true thickness
5.0,graphitic_schist,316,54,632.0,4.02309825949367,signed along-hole distance; not perpendicular distance or true thickness
5.0,qfr,33,16,66.0,0.7817060606060605,signed along-hole distance; not perpendicular distance or true thickness
10.0,graphitic_schist,530,54,1060.0,3.8583228301886794,signed along-hole distance; not perpendicular distance or true thickness
10.0,qfr,35,17,70.0,0.75918,signed along-hole distance; not perpendicular distance or true thickness
